,zipcode,agi_stub
103772,10958,1
103773,10958,2
103774,10958,3
103775,10958,4
103776,10958,5
103777,10958,6
103778,10960,1
103779,10960,2
103780,10960,3
103781,10960,4
103782,10960,5
103783,10960,6
103784,10962,1
103785,10962,2
103786,10962,3
103787,10962,4
103788,10962,5
103789,10962,6
103790,10963,1
103791,10963,2
103792,10963,3
103793,10963,4
103794,10963,5
103795,10963,6
103796,10964,1
103797,10964,2
103798,10964,3
103799,10964,4
103800,10964,5
103801,10964,6
103802,10965,1
103803,10965,2
103804,10965,3
103805,10965,4
103806,10965,5
103807,10965,6
103808,10968,1
103809,10968,2
103810,10968,3
103811,10968,4
103812,10968,5
103813,10968,6
103814,10969,1
103815,10969,2
103816,10969,3
103817,10969,4
103818,10969,5
103819,10969,6
103820,10970,1
103821,10970,2
103822,10970,3
103823,10970,4
103824,10970,5
103825,10970,6
103826,10973,1
103827,10973,2
103828,10973,3
103829,10973,4
103830,10973,5
103831,10973,6
103832,10974,1
103833,10974,2
103834,10974,3
103835,10974,4
103836,10974,5
103837,10974,6
103838,10975,1
103839,10975,2
103840,10975,3
103841,10975,4
103842,10975,5
103843,10975,6
103844,10976,1
103845,10976,2
103846,10976,3
103847,10976,4
103848,10976,5
103849,10976,6
103850,10977,1
103851,10977,2
103852,10977,3
103853,10977,4
103854,10977,5
103855,10977,6
103856,10979,1
103857,10979,2
103858,10979,3
103859,10979,4
103860,10979,5
103861,10979,6
103862,10980,1
103863,10980,2
103864,10980,3
103865,10980,4
103866,10980,5
103867,10980,6
103868,10983,1
103869,10983,2
103870,10983,3
103871,10983,4
103872,10983,5
103873,10983,6
103874,10984,1
103875,10984,2
103876,10984,3
103877,10984,4
103878,10984,5
103879,10984,6
103880,10985,1
103881,10985,2
103882,10985,3
103883,10985,4
103884,10985,5
103885,10985,6
103886,10986,1
103887,10986,2
103888,10986,3
103889,10986,4
103890,10986,5
103891,10986,6
103892,10987,1
103893,10987,2
103894,10987,3
103895,10987,4
103896,10987,5
103897,10987,6
103898,10988,1
103899,10988,2
103900,10988,3
103901,10988,4
103902,10988,5
103903,10988,6
103904,10989,1
103905,10989,2
103906,10989,3
103907,10989,4
103908,10989,5
103909,10989,6
103910,10990,1
103911,10990,2
103912,10990,3
103913,10990,4
103914,10990,5
103915,10990,6
103916,10992,1
103917,10992,2
103918,10992,3
103919,10992,4
103920,10992,5
103921,10992,6
103922,10993,1
103923,10993,2
103924,10993,3
103925,10993,4
103926,10993,5
103927,10993,6
103928,10994,1
103929,10994,2
103930,10994,3
103931,10994,4
103932,10994,5
103933,10994,6
103934,10996,1
103935,10996,2
103936,10996,3
103937,10996,4
103938,10996,5
103939,10996,6
103940,10998,1
103941,10998,2
103942,10998,3
103943,10998,4
103944,10998,5
103945,10998,6
103946,11001,1
103947,11001,2
103948,11001,3
103949,11001,4
103950,11001,5
103951,11001,6
103952,11003,1
103953,11003,2
103954,11003,3
103955,11003,4
103956,11003,5
103957,11003,6
